Overall rank,Country or region,Ladder Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
1,Finland,7.804,1.888,1.585,0.535,0.772,0.126,0.535
2,Denmark,7.586,1.949,1.548,0.537,0.734,0.208,0.525
3,Iceland,7.53,1.926,1.62,0.559,0.738,0.25,0.187
4,Israel,7.473,1.833,1.521,0.577,0.569,0.124,0.158
5,Netherlands,7.403,1.942,1.488,0.545,0.672,0.251,0.394
6,Sweden,7.395,1.921,1.51,0.562,0.754,0.225,0.52
7,Norway,7.315,1.994,1.521,0.544,0.752,0.212,0.463
8,Switzerland,7.24,2.022,1.463,0.582,0.678,0.151,0.475
9,Luxembourg,7.228,2.2,1.357,0.549,0.71,0.149,0.418
10,New Zealand,7.123,1.842,1.544,0.513,0.672,0.23,0.471
11,Austria,7.097,1.927,1.382,0.535,0.63,0.191,0.31
12,Australia,7.095,1.899,1.497,0.532,0.677,0.242,0.31
13,Canada,6.961,1.881,1.484,0.541,0.656,0.218,0.364
14,Ireland,6.911,2.152,1.425,0.539,0.656,0.186,0.409
15,United States,6.894,1.98,1.46,0.39,0.557,0.21,0.172
16,Germany,6.892,1.919,1.401,0.539,0.618,0.153,0.365
17,Belgium,6.859,1.907,1.449,0.528,0.59,0.137,0.273
18,Czechia,6.845,1.823,1.544,0.477,0.693,0.158,0.05
19,United Kingdom,6.796,1.857,1.366,0.511,0.626,0.272,0.34
20,Lithuania,6.763,1.808,1.511,0.432,0.487,0.059,0.089
21,France,6.661,1.856,1.433,0.566,0.582,0.083,0.27
22,Slovenia,6.65,1.815,1.539,0.532,0.707,0.144,0.113
23,Costa Rica,6.609,1.587,1.34,0.503,0.683,0.099,0.116
24,Romania,6.589,1.726,1.28,0.423,0.631,0.044,0
25,Singapore,6.587,2.168,1.354,0.607,0.66,0.17,0.561
26,United Arab Emirates,6.571,2.015,1.223,0.401,0.745,0.188,0.247
27,Taiwan Province of China,6.535,1.89,1.372,0.492,0.562,0.067,0.178
28,Uruguay,6.494,1.617,1.445,0.435,0.683,0.102,0.254
29,Slovakia,6.469,1.731,1.544,0.472,0.494,0.128,0.022
